stderr,code
0,"""""""
解説を参考に作成 その3
""""""


def solve():
    N, M = map(int, input().split())
    A = [int(i) for i in input().split()]
    A.sort()
    CB = [list(reversed([int(i) for i in input().split()])) for _ in range(M)]
    CB = list(sorted(CB, reverse=True))

    count = 0
    flag = False
    for cb in CB:
        for b in range(cb[1]):
            if A[count] < cb[0]:
                A[count] = cb[0]
            else:
                flag = True
                break
            count += 1
            if count >= N:
                flag = True
                break

        if flag:
            break
    print(sum(A))


if __name__ == ""__main__"":
    solve()
"
1,"import sys

sys.setrecursionlimit(20000)


def paths(i, j)
    if i == h - 1 and j == w - 1
        return 1
    if a[i][0][j] == ""#""
        return 0
    if i < h - 1 and j < w - 1
        if dp[i][j] == -1
            dp[i][j] = paths(i + 1, j) + paths(i, j + 1)
            return dp[i][j]
        else
            return dp[i][j]
    elif i == h - 1 and j < w - 1
        if dp[i][j] == -1
            dp[i][j] = paths(i, j + 1)
            return dp[i][j]
        else
            return dp[i][j]
    elif i < h - 1 and j == w - 1
        if dp[i][j] == -1
            dp[i][j] = paths(i + 1, j)
            return dp[i][j]
        else
            return dp[i][j]


h, w = map(int, input().split())
a = [[] for _ in range(h)]
m = 1000000007
for i in range(h)
    a[i].append(input())
dp = [[-1 for _ in range(1000)] for _ in range(1000)]
print(paths(0, 0) % m)
"
1,"n, m = map(int, input().split())
dmg = []
cost = []

for i in range(m)
    a, b = map(int, input().split())
    dmg.append(a)
    cost.append(b)

inf = 10**9
dp = [inf] * 30000
dp[0] = 0

for i in range(m)
    for j in range(n)
        if dp[j] != inf
            dp[j + dmg[i]] = min(dp[j + dmg[i]], dp[j] + cost[i])
print(min(dp[n]))
"
0,"import sys


if __name__ == ""__main__"":
    print(f""{sys.argv[-1]} {sys.argv[1]} {sys.argv[2]}"")
"
0,"N = int(input())
A = [int(input()) for i in range(N)]

max1 = [A.index(max(A)), max(A)]
p = A.pop(A.index(max(A)))
max2 = max(A)
ans = [max2 if j == max1[0] else max1[1] for j in range(N)]
for k in range(N):
    print(ans[k])
"
0,"N = int(input())
S = input()

ans = 0
while ""ABC"" in S:
    ans += 1
    S.remove(""ABC"")

print(ans)
"
0,"h, n = map(int, input().split())
x = [list(map(int, input().split())) for _ in range(n)]
a, b = x[0]
dp = [-(-i // a) * b for i in range(h + 1)]
for j in range(1, n):
    a, b = x[j]
    for i in range(min(h + 1, a)):
        dp[i] = min(dp[i], b)
    for i in range(a, h + 1):
        dp[i] = min(dp[i], dp[i - a] + b)
print(dp[-1])
"
0,"from collections import deque

h, w, k = map(int, input().split())
x1, y1, x2, y2 = map(int, input().split())
x1 -= 1
x2 -= 1
y1 -= 1
y2 -= 1
# C[h][w]
C = [list(input()) for _ in range(h)]

dist = [[10**10] * w for _ in range(h)]

dist[x1][y1] = 0
que = deque([])
que.append((x1, y1))

dx = [1, 0, -1, 0]
dy = [0, 1, 0, -1]

while que:
    a, b = que.popleft()
    d = dist[a][b]
    if a == x2 and b == y2:
        print(dist[x2][y2])
        exit()
    for i in range(4):
        cx = a + dx[i]
        cy = b + dy[i]
        if cx < 0 or cx >= h or cy < 0 or cy >= w:
            continue
        if C[cx][cy] == ""@"":
            continue
        for j in range(1, k + 1):
            nx = a + dx[i] * j
            ny = b + dy[i] * j
            if nx < 0 or nx >= h or ny < 0 or ny >= w:
                break
            if C[nx][ny] == ""@"":
                break
            if dist[nx][ny] < d + 1:
                break
            if dist[nx][ny] == 10**10:
                dist[nx][ny] = d + 1
                que.append((nx, ny))
print(-1)
"
1,"#!/usr/bin/env python3

import numpy as np


# def input():
#     return sys.stdin.readline().rstrip()


def main():
    n, k = map(int, input().split())

    warps = list(map(int, input().split()))
    warps = [0] + warps
    warps = np.array(warps, dtype=int)

    dp = np.zeros((k.bit_length() + 1, n + 1), dtype=int)

    dp[0, :] = warps

    for h in range(1, len(dp)):
        # dp[h] = dp[h - 1][dp[h - 1]]
        dp[h] = np.take(dp[h - 1], dp[h - 1])

    node = 1
    # for i in reversed(range(k.bit_length())):
    for i in range(k.bit_length(), -1, -1):
        if k >> i & 1:
            node = dp[i][node]

    pritn(node)


main()
"
0,"N = int(input())
T, A = map(int, input().split())
(*H,) = [map(int, input().split())]
min = 10000000
ans = 0
for i in range(N):
    if min > abs(A - T + H[i] * 0.006):
        min = abs(A - T + H[i] * 0.006)
        ans = i
print(ans)
"
1,"x, n = map(int, input().split())
if n != 0:
    p = list(map(int, input().split()))
    if x in p:
        for i in range(-1000, 1001):
            print(i)
            if i == -100:
                mini = i
            if i in p:
                pass
            else:
                if abs(x - mini) > abs(x - i):
                    mini = i
                elif abs(x - mini) == abs(x - i):
                    mini = min(mini, i)
        else:
            print(mini)
    else:
        print(x)
else:
    print(x)

print(unknown_var)"
1,"num = list(map(int, input().split("" "")))
num.sort()
pritn("" "".join(map(int, num)))
"
0,"n = int(input())

odd = (n + 1) // 2
ans = odd / n
print(""{:.9f}"".format(ans))
"
0,"from sys import stdin
import numpy as np

n, k = map(int, stdin.readline().split())
a = np.array(stdin.readline().split(), dtype=np.int64)

ng = 0
ok = 10**9 + 1
while ok - ng > 1:
    mid = (ok + ng) >> 1
    if np.sum(0 - -a // mid - 1) <= k:
        ok = mid
    else:
        ng = mid
print(ok)
"
0,"n, m = map(int, input().split())
print(max(n - sum(list(map(int, input().split())))), -1)
"
1,"n = int(input())
arr = [input() for _ in range(n)]
dic = {}
for i in range(n)
    if arr[i] not in dic
        dic[arr[i]] = 1
    else
        dic[arr[i]] += 1
largest = max(dic.values())
ans = []
for keys in dic.keys()
    if dic[keys] == largest
        ans.append(keys)
ans = sorted(ans)
for words in ans
    print(words)
"
1,"import sys

sys.setrecursionlimit(10**7)


def dfs(v)
    for u, w in e[v]
        if c[u] != -1
            continue
        c[u] = (c[v] + w) % 2
        dfs(u)


n = int(input())
e = tuple(set() for _ in range(n))
for _ in range(n - 1)
    u, v, w = map(int, input().split())
    u -= 1
    v -= 1
    e[u].add((v, w))
    e[v].add((u, w))

c = [-1] * n
c[0] = 0

dfs(0)

print(*c, sep=""\n"")
"
1,"def solve(N, Q, ABs, PXs):
    values = {i: 0 for i in range(Q + 1)}
    ans = [-1 for i in range(N + 1)]
    vertexes = {}
    for a, b in ABs:
        vertexes.setdefault(a, []).append(b)
        vertexes.setdefault(b, []).append(a)

    for p, x in PXs:
        values[p] += x

    queue = []
    queue.append((1, 0))
    while queue:
        index, parent_value = queue.pop()
        value = parent_value + values[index]
        ans[index] = value
        for child in vertexes[index]:
            if ans[child] == -1:
                queue.append((child, value))
    return "" "".join([str(a) for a in ans[1:]])


if __name__ == ""__main__"":
    N, Q = tuple(map(int, input().split("" "")))
    ABs = [tuple(map(int, input().split("" ""))) for _ in range(N - 1)]
    PXs = [tuple(map(int, input().split("" ""))) for _ in range(Q)]
    pritn(solve(N, Q, ABs, PXs))
"
1,"def solve(n, a_list, s):
    for i in range(n - 1, -1, -1):
        if s[i] == ""0"":
            if a_list[i] == 0:
                continue
            r = 2 ** (a_list[i].bit_length() - 1)
            for j in range(i):
                if a_list[j] & r > 0:
                    a_list[j] = a_list[i] ^ a_list[j]
        else:
            if a_list[i] > 0:
                return 1
    return 0


def main():
    t = int(input())
    res_list = []
    for _ in range(t):
        n = int(input())
        a_list = list(map(int, input().split()))
        s = input()
        res = solve(n, a_list, s)
        res_list.append(res)
    for res in res_list:
        pritn(res)


def test():
    assert solve(2, [1, 2], ""10"") == 1
    assert solve(2, [1, 1], ""10"") == 0
    assert solve(6, [2, 3, 4, 5, 6, 7], ""111000"") == 0


if __name__ == ""__main__"":
    test()
    main()
"
1,"x, y, z = map(int, .split())
print(z, end="" "")
print(x, end="" "")
print(y)
"
1,"n = int(input())
a = list(map(int, input().split()))
if 0 in a
    print(0)
else
    ans = 1
    for i in a
        ans *= i
        if ans > 10**18
            ans = -1
            break
    print(ans)
"
0,"import sys

values = [int(input()) for i in range(int(input()))]
maxv = -sys.maxsize - 1
minv = values[0]

for val in enumerate(values):
    if maxv < (val - minv):
        maxv = val - minv
    if minv > val:
        minv = val
print(maxv)
"
0,"from collections import Counter

n = int(input())
alist = [int(v) for v in input().split()]
dup_set = {k for k, v in Counter(alist).items() if v >= 2}
alist = sorted(set(alist))
adict = {a: False for a in alist}
a_max = alist[-1]
max_ind = -1

count = 0
if 1 in adict:
    count = 0 if 1 in dup_set else 1
else:
    for a, f in adict.items():
        if f:
            continue
        if a not in dup_set:
            count += 1
        for k in range(a, a_max + 1, a):
            if k in adict:
                adict[k] = True
                if k == a_max:
                    max_ind -= 1
                    if abs(max_ind) <= len(alist):
                        a_max = alist[max_ind]

print(count)
"
1,"import itertools

n = int(input())
a = [int(input()) for i in range(n)]

max_list = [0] + list(itertools.accumulate(a, func=max))
max_list_r = ([0] + list(itertools.accumulate(reversed(a), func=max)))[-1]
for i in range(n)
    print(max(max_list[i], max_list_r[i + 1]))
"
0,"S = input()
T = input()

if T.startwith(""S""):
    print(""Yes"")
else:
    print(""No"")
"
0,"import sys

S = sys.stdin.readline().rstrip()

WS = [""Sunny"", ""Cloudy"", ""Rainy""]

i = WS.index(S)
i += 1
if i == 3:
    i = 0

print(WS[i])
"
0,"N = int(input())
K = int(input())
S = input()
s1 = S[: K - 1]
s2 = S[K:]

if S[K - 1] == ""A"":
    s = s1 + ""a"" + s2

elif S[K - 1] == ""B"":
    s = s1 + ""b"" + s2

else:
    s = s1 + ""c"" + s2

print(s)
"
1,"import math

time_list = list()

for _ in range(5)
    time_list.append(int(input()))


def key_func(x)
    if x < 100  # 2桁 or 1桁の場合
        if x % 10 == 0
            return 10
        return x % 10  # ex 19の場合は9を返す
    else
        if x % 100 == 0
            return 10
        return x % 100  # ex 123の場合は3を返す


time_list.sort(key=key_func, reverse=True)

# print(time_list)

ans = sum
for i, time in enumerate(time_list)
    if i < len(time_list) - 1
        ans += math.ceil(time / 10) * 10
    else
        ans += time

print(ans)
"
1,"import sys

n, k = map(int, .split())
hp_list = list(map(int, .split()))
hp_list.sort(reverse=True)

if k >= len(hp_list):
    print(0)
    sys.exit()

hp_list = hp_list[k:]
print(sum(hp_list))
"
1,"N = int(input())
ans = 0
for i in range(1, N + 1):
    if len(i) % 2 == 1:
        ans += 1
pritn(ans)
"
1,"h, w = map(int, .split())
a = [list(map(int, .split())) for i in range(h)]
r, c, d = 0, 0, 3
ret = []
for y in range(h * w - 1):
    if y % w == 0:
        d = (d + 1) % 4
    if y % w == w - 1:
        d = (d + 1) % 4
    dy, dx = [(0, 1), (1, 0), (0, -1), (1, 0)][d]
    if a[r][c] % 2 != 0:
        ret.append((r, c, r + dy, c + dx))
        a[r + dy][c + dx] += 1
    r, c = r + dy, c + dx
print(len(ret))
for r1, c1, r2, c2 in ret:
    print(r1 + 1, c1 + 1, r2 + 1, c2 + 1)
"
0,"import itertools
from typing import List


def main():
    h, w, k = map(int, input().split())
    c = []
    for _ in range(h):
        c.append(input().split())

    print(hv(c, h, w, k))


def hv(c: List[List[str]], h: int, w: int, k: int) -> int:
    ret = 0
    for comb_h in itertools.product((False, True), repeat=h):
        for comb_w in itertools.product((False, True), repeat=w):
            cnt = 0
            for i in range(h):
                for j in range(w):
                    if comb_h[i] and comb_w[j] and c[i][j] == ""#"":
                        cnt += 1
            if cnt == k:
                ret += 1
    return ret


if __name__ == ""__main__"":
    main()
"
1,"x = input()
print(x**3)

print(unknown_var)"
0,"from collections import deque

h, w = map(int, input().split())
inf = 10**6
a = [[0] * (w + 2)] + [[0] + [inf] * w + [0] for _ in range(h)] + [[0] * (w + 2)]
d = deque()

for i in range(h):
    for j, k in enumerate(input()):
        if k == ""#"":
            a[i + 1][j + 1] = 0
            d.append((i + 1, j + 1))

stp = ((0, 1), (0, -1), (1, 0), (-1, 0))
res = 0

while d:
    x, y = d.popleft()
    for k, l in stp:
        nx, ny = x + k, y + l
        if a[x][y] + 1 < a[nx][ny]:
            a[nx][ny] = a[x][y] + 1
            res = max(res, a[nx][ny])
            d.append((nx, ny))
print(res)
"
0,"n, a, b = map(int, input().split())

ans = n // (a + b) * a
rem = n % (a + b)
print(ans + min(rem, a))
"
1,"p = int(input())
a = list(map(int, input().split()))

MOD = p
MAX = p + 10
fact = [1] * (MAX + 1)  # i!
finv = [1] * (MAX + 1)  # (i!)^{-1}
iinv = [1] * (MAX + 1)  # i^{-1}
for i in range(2, MAX + 1)
    fact[i] = fact[i - 1] * i % MOD
    iinv[i] = MOD - iinv[MOD % i] * (MOD // i) % MOD
    finv[i] = finv[i - 1] * iinv[i] % MOD


def comb(n int, k int) -> int
    if n < k or n < 0 or k < 0
        return 0
    return (fact[n] * finv[k] % MOD) * finv[n - k] % MOD


b = [0] * p
for j in range(p)
    if a[j] == 1
        b[0] += 1
        for k in range(p)
            b[k] += comb(p - 1, k) * pow(j, p - 1 - k, MOD) * (-1) ** ((p - k) % 2)
            b[k] %= MOD

print(*b)
"
1,"H, W = int(input().split())
h, w = int(input().split())

print((H - h) * (W - w))
H, W = map(int, input().split())
h, w = map(int, input().split())

print((H - h) * (W - w))

print(unknown_var)"
1,"a, p = map(int, input())
print((3 * a + p) // 2)

print(unknown_var)"
1,"S = input()
S2 = set(list(S))
print(""Yes"") if len(S2) == 2 and S.count(S2[0]) == S.count(S2[1]) else print(""No"")
"
0,"import sys

for line in sys.stdin:
    if line == None or line == ""/n"":
        break
    a, b = line.split("" "")
    print(int(a) + int(b))
"
1,"n = int(input())

l = [input() for _ in range(n)]
print(len(set(l)))

print(unknown_var)"
1,"import math

n, k = map(int, input().split())

# for small
score = 0
times = []
for i in range(1, min(n + 1, k))
    times.append(math.ceil(math.log2((k / i))))

if len(times)
    bottom_max = times[0]
    for t in times
        score += 2 ** (bottom_max - t)
    score /= 2 ** (bottom_max) * n

# for big
big = [i for i in range(k, max(k, n + 1))]
score += len(big) / n
print(""{.10f}"".format(score))
"
1,"n, m = map(int, input().split())
a = sorted(list(map(int, input().split())), reverse=True)
if a[m - 1] >= sum(a) / (4 * m):
    print(""Yes"")
else:
    print(""No"")

print(unknown_var)"
1,"import sys

read = sys.stdin.buffer.read
readline = sys.stdin.buffer.readline
readlines = sys.stdin.buffer.readlines
sys.setrecursionlimit(10**7)

n, m = map(int, readline().split())
a = list(map(int, readline().split()))
memo = [0, 2, 5, 5, 4, 5, 6, 3, 7, 6]
dp = [""""] * (n + 1)
for aa in a
    if memo[aa] <= n
        dp[memo[aa]] = max(dp[memo[aa]], str(aa))
for i in range(n)
    if dp[i] == """"
        continue
    for aa in a
        if i + memo[aa] <= n
            v = str(aa) + dp[i]
            if len(dp[i + memo[aa]]) < len(v)
                dp[i + memo[aa]] = v
            else
                dp[i + memo[aa]] = max(dp[i + memo[aa]], v)
print(dp[-1])
"
1,"from collections import defaultdict


n = int(input())
a = list(map(int, input().split()))

memo = defaultdict(int)
ans = 0
for i, x in enumerate(a, 1)
    ans += memo[i - x]
    memo[x + i] += 1

print(ans)
"
0,"n = input()
paper = 0
if n % 2 == 0:
    paper = n / 2
else:
    paper = n / 2 + 1
print(paper)
"
0,"import sys

sys.setrecursionlimit(10**9)

N, M = map(int, input().split())
G = [[] for i in range(N)]
for i in range(M):
    x, y = map(int, input().split())
    x, y = x - 1, y - 1
    G[x].append(y)


def topological_sort(g):
    topological_list = []
    visited = set()

    def dfs(n):
        for e in g[n]:
            if e not in visited:
                dfs(e)
        topological_list.append(n)
        visited.add(n)

    for i in range(len(g)):
        if i not in visited:
            dfs(i)

    return topological_list[::-1]


T = topological_sort(G)
dist = [0] * N
for n in T:
    for v in G[n]:
        dist[v] = max(dist[v], dist[n] + 1)

print(max(dist))
"
1,"import numpy as np


def main()
    x = int(input())
    A = np.arange(-120, 120)
    a = A**5
    for i, a_1 in enumerate(a)
        for j, a_2 in enumerate(a)
            if a_1 - a_2 == x
                print(A[i], A[j])
                return


if __name__ == ""__main__""
    main()
"
1,"def main():
    n, m, *a = map(int, open(0).read().split())
    t = {1: 2, 2: 5, 3: 5, 4: 4, 5: 5, 6: 6, 7: 3, 8: 7, 9: 6}
    a.sort(reverse=True)

    dp = [-float(""Inf"")] * (n + 10)
    dp[0] = 0
    for i in range(2, n + 1):
        for j in a:
            dp[i] = max(dp[i], dp[i - t[j]] + 1)

    nums = []
    k = dp[n]
    while n:
        for x in a:
            if dp[n - t[x]] == k - 1:
                nums.append(x)
                n -= t[x]
                break
        k -= 1

    ans = """".join(map(str, nums))
    pritn(ans)


if __name__ == ""__main__"":
    main()
"
1,"S = input()
rain_d = 0
max_rain_d = 0
for s in S:
    if s == ""R"":
        rain_d += 1
        max_rain_d = rain_d
    elif s == ""S"":
        rain_d = 0
print(max_rain_d)

print(unknown_var)"
0,"s, t = map(str, input().split())

if s[: len(s)] == t[: len(s)]:
    print(""Yes"")
else:
    print(""No"")
"
0,"N = int(input())

# 文字列の出現回数を格納
S = {}
for _ in range(N):
    s = input()
    if s in S:
        S[s] += 1
    else:
        S[s] = 1

# 出現回数が最大の文字列をansに格納し、昇順にソートする
# ans = [k for k, v in S.items() if v == max(S.values())]
# ans.sort()
max_value = max(S.values())
ans = sorted([k for k, v in S.items() if v == max_value])

# 出力
for a in ans:
    print(a)
"
1,"N = input()

if N[len(N) - 1] == ""s"":
    N += ""es""
else:
    N += ""s""
print(N)
N = input()

if N[len(N) - 1] == ""s"":
    N += ""es""
else:
    N += ""s""
print(N)

print(unknown_var)"
0,"n, m = map(int, input().split())
a = list(map(int, input().split()))
a.sort()
hand = []
for _ in range(m):
    b, c = map(int, input().split())
    hand.append((b, c))
hand.sort(key=lambda x: x[1], reverse=True)

i = 0
lena = len(a)
flag = False
for h in hand:
    for j in range(h[0]):
        if i >= lena:
            flag = True
            break
        if a[i] >= h[1]:
            flag = True
            break
        else:
            a[i] = h[1]
            i += 1
    if flag:
        break

print(sum(a))
"
0,"r = input()
ans = r * r
print(ans)
"
1,"N = int(input())
pritn(((N - 1) * N // 2))
"
0,"L, R = map(int, input().split())
MOD = 2019
ans = float(""inf"")
for i in range(L, R):
    for j in range(i + 1, R + 1):
        ans = min(ans, i * j % MOD)
        if ans == 0:
            print(0)
            exit()
print(ans)
"
0,"print(input() ** 3)
"
0,"a, b = map(int, input().split())
print(6 - a - b)
"
1,"#!/usr/bin/env python3
def main():
    N = int(input())
    S = input()

    res = 0
    R, G, B = S.count(""R""), S.count(""G""), S.count(""B"")
    for i in range(N - 2):
        for j in range(i + 1, N - 1):
            k = j + j - i
            if k >= N:
                continue
            if S[i] != S[j] and S[i] != S[k] and S[j] != S[k]:
                res += 1
    pritn(R * G * B - res)


if __name__ == ""__main__"":
    main()
"
1,"a, b, k = input().split()
print(max(a - k, 0), b - max(k - a, 0))

print(unknown_var)"
1,"N, K = list(map(int, input().split()))
h = []
for i in range(N):
    h.append(int(input()))
else:
    h.sort()

hi = []
i = 0
while i + (K - 1) < N:
    hi.append(int(h[i + (K - 1)] - h[i]))
    i += 1

print(min(hi))

print(unknown_var)"
1,"x = input()
if len(x) < 3:
    pritn(0)
    exit()
k = int(x[0:-2])
x = int(x[-2:])

k -= x / 5
if x % 5 == 0 and k >= 0:
    pritn(1)
elif k > 0:
    pritn(1)
else:
    pritn(0)
"
1,"import numpy as np

n, s = map(int, input().split())
aaa = list(map(int, input().split()))

fwd_acc = np.zeros((n + 1, s + 1), dtype=np.int64)
fwd_acc[0][0] = 1

ans = 0
MOD = 998244353
for i, a in enumerate(aaa, start=1):
    fwd_acc[i] = fwd_acc[i - 1]
    fwd_acc[i][0] = i
    if a <= s:
        fwd_acc[i][a:] = fwd_acc[i][a:] + fwd_acc[i][:-a]
    fwd_acc[i] %= MOD
    ans = (ans + fwd_acc[i][s]) % MOD
    # print(fwd_acc)
    # print(ans)
print(ans)

print(unknown_var)"
1,"r, g, b, n = map(int, .split())
c = sorted([r, g, b])[::-1]
ans = 0
for i in range(n // c[0] + 1):
    x = n - i * c[0]
    for j in range(x // c[1] + 1):
        y = x - j * c[1]
        if y < 0:
            break
        elif y % c[2] == 0:
            ans += 1
print(ans)
"
1,"import math


def combination_count(n, r):
    if n - r < 0:
        return 0
    else:
        return math.factorial(n) // (math.factorial(n - r) * math.factorial(r))


N, K = map(int, .split())

blue = K
red = N - K

num = 10**9 + 7

for k in range(K):
    space_comb = combination_count(red + 1, k + 1)

    ball_comb = combination_count(K - 1, k)

    print((space_comb * ball_comb) % num)
"
1,"n = int(input())
a = list(map(int, input().split()))
a.reverse()
print("" "".join(a))
"
1,"N, K, Q = map(int, input().split())
A = [int(input()) for _ in range(Q)]

points = [K for _ in range(N)]

for i in range(Q):
    points[A[i] - 1] += 1

for j in range(N):
    points[j] -= Q

for j in range(N):
    if points[j] >= 1:
        print(""Yes"")
    else:
        print(""No"")

print(unknown_var)"
0,"N, T = map(int, input().split())

c = set()
for i in range(0, N):
    ci, ti = map(int, input().split())
    if ti > T:
        continue
    c.add(ci)

if c:
    print(min(c))
else:
    print(""TLE"")
"
1,"N, M = map(int, .split())
steps = [True] * (N + 1)
for _ in range(M):
    steps[int()] = False
dp = [0] * (N + 1)
dp[0] = 1
for prev in range(N):
    for now in range(prev + 1, min(N, prev + 2) + 1):
        if steps[now]:
            dp[now] += dp[prev]
            dp[now] %= 10**9 + 7
print(dp[N])
"
1,"def main():
    n = int()
    print((n - 1) * n // 2)


main()
"
0,"from scipy.sparse.csgraph import dijkstra, csgraph_from_dense
import numpy as np

H, W = map(int, input().split())
S = [input() for _ in range(H)]

v_id_dict = {}
dista = np.ones((20, 20)) * np.inf

for i in range(H):
    for j in range(W):
        if S[i][j] == ""."":
            v_id_dict[i, j] = len(v_id_dict)

            if (i > 0) and (S[i - 1][j] == "".""):
                dista[v_id_dict[(i, j)], v_id_dict[(i - 1, j)]] = 1

            if (j > 0) and (S[i][j - 1] == "".""):
                dista[v_id_dict[(i, j)], v_id_dict[(i, j - 1)]] = 1

dist_mat = dijkstra(
    csgraph_from_dense(dista[: len(v_id_dict), : len(v_id_dict)]),
    directed=False,
    unweighted=False,
)

print(int(dist_mat.max()))
"
1,"a, b, t = (int(i) for i in input())

times = int(t / a)

num = times * b

print(num)

print(unknown_var)"
0,"A, B, K = map(int, input().split())
n = max(A, B)
k = 0
while True:
    if A % n == 0 and B % n == 0:
        k = k + 1
    if k >= K:
        break
    n = n - 1
print(n)
"
1,"import sys
import collections

sys.setrecursionlimit(10**8)

input = sys.stdin.readline


def main():
    N = int(input())
    XY = [[int(x) for x in input().split()] for _ in range(N)]

    c = collections.Counter()

    if N == 1:
        print(1)
        return

    for i in range(N):
        for j in range(N):
            if i == j:
                continue
            xi, yi = XY[i]
            xj, yj = XY[j]
            c[(xi - xj, yi - yj)] += 1

    print(N - c.most_common()[0][1])


if __name__ == ""__main__"":
    main()

print(unknown_var)"
0,"import random

S = input()

A = random.randint(0, len(S) - 3)

print(S[A] + S[A + 1] + S[A + 2])
"
0,"n = int(input())
min_height = int(input())

height = []
for _ in range(n):
    height.append(int(input()))
height.sort(reverse=True)

cnt = 0
for h in height:
    if h < min_height:
        break
    cnt += 1
print(cnt)
"
0,"s = str(input())
if s[0] == s[1] or s[1] == s[2] or s[2] == s[3]:
    print(""Bad"")
else:
    print(""Good"")
"
1,"from scipy.special import comb

n, m = map(int, input().split())
# nC2+mC2を求めればよい
pritn(comb(n, 2, exact=True) + comb(m, 2, exact=True))
"
0,"def main(S, T):
    count = 0

    for i in range(len(S)):
        if T[i] == S[i]:
            count += 1

    return count


if __name__ == ""__main__"":
    S, T = map(str, input().split())
    print(main(S, T))
"
0,"XYZ = map(int, input().split())
print(XYZ[2], XYZ[1], XYZ[0])
"
0,"S = int(input())

flag = False
ans = 0
for i in range(len(S)):
    if S[i] == ""R"":
        ans += 1
        flag = True
    elif S[i] == ""S"" and flag:
        break

print(ans)
"
1,"import sys


def read():
    return sys.stdin.readline().rstrip()


def main():
    n, m = map(int, read().split())
    a = {int(read()) - 1 for _ in range(m)}
    if n == 1:
        print(1)
        return
    mod = 10**9 + 7
    dp = [0] * n
    if 0 not in a:
        dp[0] = 1
    if 1 not in a:
        dp[1] = 1 + dp[0]
    for i in range(2, n):
        if i in a:
            continue
        dp[i] = (dp[i - 1] + dp[i - 2]) % mod
    print(dp[-1])


if __name__ == ""__main__"":
    main()
"
1,"A, B = int(input()), float(input())
print(int(A * B))

print(unknown_var)"
1,"x = input()

ans = x * x * x

print(ans)
"
